country	CG	SC	ES	EQ	HS	HO	IW	JE	SW	PS	WL	numResponses
TOTAL	0.06865320162657011	0.08177762078376458	0.09890538727759765	0.09184317980159881	0.10390368417290087	0.08872460586793159	0.08682133380431538	0.09004840181496293	0.10321234982190991	0.09223173998427256	0.09387849504417559	66038
AFG	0.06707479371839234	0.0817141336172478	0.0896992281075326	0.09182858663827521	0.10327388874101677	0.093691775352675	0.09874900186318872	0.08996539792387544	0.09795049241416023	0.09103007718924674	0.09502262443438914	131
ALB	0.06843919251600197	0.08419497784342689	0.09453471196454949	0.08370260955194485	0.103397341211226	0.09453471196454949	0.10241260462826195	0.10142786804529788	0.09059576563269325	0.08517971442639094	0.0915805022156573	67
DZA	0.07845117845117845	0.07575757575757576	0.09292929292929293	0.09595959595959595	0.09663299663299663	0.09865319865319866	0.08956228956228957	0.09427609427609428	0.09764309764309764	0.09326599326599326	0.08686868686868687	94
AND	0.07610789980732177	0.08092485549132948	0.0905587668593449	0.10982658959537572	0.09922928709055877	0.08285163776493257	0.08863198458574181	0.08670520231213873	0.10115606936416185	0.09730250481695568	0.08670520231213873	33
AGO	0.08234019501625135	0.09534127843986999	0.09642470205850487	0.07583965330444203	0.09317443120260022	0.09967497291440953	0.09967497291440953	0.0866738894907909	0.10400866738894908	0.08559046587215602	0.08125677139761647	36
AIA	0.08831168831168831	0.07272727272727272	0.0987012987012987	0.09350649350649351	0.08311688311688312	0.0987012987012987	0.09610389610389611	0.09350649350649351	0.1012987012987013	0.09090909090909091	0.08311688311688312	15
ATG	0.07260726072607261	0.09570957095709572	0.11221122112211221	0.10231023102310231	0.07920792079207921	0.07920792079207921	0.06930693069306931	0.10561056105610561	0.10561056105610561	0.07260726072607261	0.10561056105610561	11
ARG	0.07472940566465747	0.08095145505217448	0.10441376628426988	0.09099747229243632	0.10337675805301705	0.0905437811912632	0.08496986194827921	0.0935899928705684	0.09501587918854106	0.09235854559595567	0.08905308185883726	437
ARM	0.07184579439252337	0.08820093457943926	0.09929906542056074	0.09345794392523364	0.10514018691588785	0.09170560747663552	0.08119158878504673	0.08586448598130841	0.10455607476635514	0.09579439252336448	0.08294392523364486	56
ABW	0.07446808510638298	0.08111702127659574	0.09707446808510638	0.09441489361702128	0.09973404255319149	0.0851063829787234	0.09840425531914894	0.09308510638297872	0.09175531914893617	0.09973404255319149	0.0851063829787234	23
