code	country	group	ranking
BRA	Brazil	A	3
JPN	Japan	C	46
AUS	Australia	B	62
IRN	Iran	F	43
KOR	Korea, Republic of	H	57
NLD	Netherlands	B	15
ITA	Italy	D	9
CRI	Costa Rica	D	28
USA	United States	G	13
ARG	Argentina	F	5
BEL	Belgium	H	11
CHE	Switzerland	E	6
DEU	Germany	G	2
COL	Colombia	C	8
BIH	Bosnia	F	21
RUS	Russian Federation	H	19
GBR	England	D	10
ESP	Spain	B	1
CHL	Chile	B	14
ECU	Ecuador	E	26
HND	Honduras	E	33
NGA	Nigeria	F	44
CIV	Côte d'Ivoire	C	23
CMR	Cameroon	A	56
GHA	Ghana	G	37
DZA	Algeria	H	22
GRC	Greece	C	12
HRV	Croatia	A	18
PRT	Portugal	G	4
FRA	France	E	17
MEX	Mexico	A	20
URY	Uruguay	D	7
